emp_no,first_name,last_name,birth_date,hire_date
10808,Chenxi,Leijenhorst,1955-09-11,1987-03-07
10835,Tomoyuki,Kermarrec,1952-11-23,1985-07-28
10836,Jianhua,Leivant,1953-07-15,1985-07-26
10844,Dipayan,Koprowski,1954-02-03,1987-03-03
10847,Theirry,Danley,1952-03-04,1986-07-25
10848,Fen,Bratsberg,1954-07-16,1985-04-20
10867,Billur,Gyorkos,1952-10-01,1986-10-08
10878,Lakshmi,Deville,1952-06-13,1988-02-25
10879,Muzhong,Chleq,1953-08-18,1985-08-15
10883,Shimshon,Champarnaud,1952-07-30,1987-11-07
10895,Vishwani,Petersohn,1952-03-21,1986-04-26
10909,Georgi,Atchley,1954-11-11,1985-04-21
10912,Oscal,Fasbender,1952-07-27,1986-04-23
10918,Susumu,Reghbati,1954-12-26,1985-12-13
10921,Mara,Bahi,1955-07-20,1986-07-27
10924,Hironoby,Atchley,1954-04-27,1988-08-14
10927,Gal,Scallan,1953-03-13,1985-10-26
10936,Mountaz,Schicker,1953-04-08,1987-10-27
10943,Berna,Skafidas,1955-11-19,1988-02-19
10965,Eckart,Braunschweig,1955-07-10,1986-07-29
10969,Premal,Noriega,1954-09-05,1988-08-22
10974,Muneo,Papsdorf,1952-03-07,1985-11-25
10986,Masako,Schiper,1954-08-11,1985-10-11
10988,Chinya,Deyuan,1955-06-24,1985-06-19
10989,Sumali,Candan,1954-09-08,1985-07-20
10990,Shin,Foote,1954-10-22,1988-07-06
11009,Alper,Axelband,1954-08-30,1986-09-09
11012,Taegyun,Speckmann,1953-09-12,1986-12-28
11019,Leon,Huttel,1954-09-06,1985-02-04
11021,Srinidhi,Henders,1954-07-13,1985-05-24
11027,Remzi,Cappello,1955-12-13,1986-05-07
11028,Miyeon,Krider,1952-02-23,1986-06-18
11031,Ottavia,Walstra,1954-12-20,1985-04-26
11037,Lansing,Maliniak,1952-05-22,1988-01-28
11038,Jinya,Beidas,1955-10-13,1985-07-15
11042,Gou,Breugel,1955-07-13,1988-06-26
11048,Jaques,Demke,1952-10-26,1985-02-26
11050,Elvis,Katiyar,1952-09-23,1986-05-06
11051,Przemyslawa,Erol,1952-10-06,1985-08-09
11070,Adib,Raney,1952-06-30,1985-07-24
11081,Barry,Boyle,1952-06-20,1985-06-17
11085,Hailing,Thummel,1953-09-08,1986-11-27
11100,Berna,Cochrane,1955-10-14,1986-10-13
11106,Aris,Iwayama,1955-02-23,1985-08-31
11110,Valeska,Birjandi,1955-12-11,1987-11-14
11112,Boaz,Mukaidono,1954-08-05,1987-08-20
11113,Shahab,Peng,1953-04-28,1985-11-30
11121,Vugranam,Kakkad,1953-02-13,1987-02-21
11133,Nalini,Azulay,1955-12-13,1988-02-04
11134,Sachar,Rajcani,1954-05-15,1988-05-26
11137,Hugh,Luca,1955-03-17,1986-07-31
11139,Bogdan,Homond,1955-10-13,1985-12-24
11146,Ishfaq,Masand,1954-06-25,1988-03-21
11148,Zhanqiu,Botman,1953-01-23,1985-07-06
11162,Kauko,Narlikar,1953-03-25,1985-03-28
11180,Mitsuyuki,Bojadziev,1952-11-07,1986-06-11
11197,Tadahiro,Fordan,1955-05-11,1986-04-13
11203,Sakthirel,Yetto,1952-06-24,1988-01-06
11204,Diederik,Covnot,1955-12-15,1985-09-18
11207,Saeed,Gips,1955-08-14,1987-11-09
11208,Saniya,Valtorta,1952-05-29,1988-08-26
11211,Yurij,Rissland,1952-12-11,1985-09-17
11217,Kellie,Mawatari,1954-07-01,1987-09-22
11232,Hidefumi,Crelier,1955-09-03,1988-02-02
11240,Kiam,Condotta,1955-08-12,1988-11-11
11249,Randi,Cyre,1954-10-01,1985-08-29
11251,Bezalel,Chinal,1955-10-16,1985-11-26
11268,Aimee,Petersohn,1954-05-14,1985-05-17
11275,Hitomi,Eppinger,1955-10-18,1987-05-26
11290,Visit,Dredge,1953-05-07,1985-09-08
11291,Gino,Glowinski,1953-11-01,1985-10-20
11295,Abdelkader,Lanzelotte,1953-02-03,1985-05-15
11319,Pranas,Marrakchi,1955-06-05,1986-10-03
11320,Atilio,McAlpine,1954-04-13,1987-11-24
11322,Nathalie,Pocchiola,1952-07-19,1985-02-08
11324,Kauko,Billingsley,1953-11-16,1985-08-29
11338,Kwangsub,Hanratty,1954-11-03,1987-04-14
11339,Flemming,Massonet,1954-06-05,1987-05-09
11347,Anneli,Jonsson,1954-12-27,1986-04-20
11365,Toshimi,Shinomoto,1953-11-17,1988-04-02
11376,Valery,Suomi,1952-03-10,1986-03-14
11380,Kenroku,Pelc,1952-04-23,1988-03-03
11385,Shiv,Ullian,1952-03-04,1988-05-22
11386,Alselm,Assaf,1954-09-27,1987-11-30
11393,Junsik,Junot,1954-05-17,1985-04-30
11398,Oscar,Peir,1953-05-30,1986-08-23
11404,Bedrich,Borovoy,1954-09-15,1987-03-06
11415,Sanjiv,Anido,1953-10-29,1987-03-03
11421,Josyula,Msuda,1953-11-07,1986-09-02
11431,Youngkon,Picht,1954-08-05,1985-09-16
11441,Marlo,Aingworth,1954-11-16,1987-03-27
11449,Kotesh,Asser,1955-03-30,1986-08-27
11459,Duke,Suomi,1953-10-14,1986-05-03
11461,Kish,Cronau,1955-04-18,1986-08-19
11469,Guttorm,Giaccio,1952-12-01,1988-05-23
11477,Fox,Narahari,1955-05-15,1985-09-10
11501,Karsten,Ranum,1952-03-26,1988-12-14
11506,Rance,Picel,1955-06-16,1986-07-01
11509,Aleksander,Feldhoffer,1954-06-18,1987-11-12
11513,Otmar,Mahnke,1954-07-16,1986-03-27
11515,Ulf,Basawa,1955-03-03,1986-02-27
11518,Jinxi,Oxman,1953-07-21,1985-07-03
11524,Xiadong,Standera,1955-10-26,1988-09-20
11527,Alagu,Boyle,1952-02-06,1988-07-03
11528,Zito,Dolinsky,1955-04-26,1987-06-15
11537,DAIDA,Pehl,1955-06-29,1986-07-06
11554,Subhash,Taubenfeld,1955-05-28,1988-10-17
11555,Kotesh,Perfilyeva,1955-08-05,1986-10-14
11562,Rimli,Alencar,1953-06-22,1988-06-30
11567,Teiji,Mitzlaff,1954-07-06,1988-02-03
11568,Martins,Fujisaki,1955-12-01,1987-07-28
11578,Edwin,Rosti,1953-12-22,1985-11-22
11588,Kaijung,Panangaden,1952-07-20,1986-10-13
11603,Herb,Swen,1954-12-07,1985-04-13
11607,Tomokazu,Foong,1953-12-03,1987-09-12
11615,Shem,Isaak,1955-03-05,1988-09-13
11624,Adil,Gammage,1955-05-16,1988-04-05
11628,Fan,Malinowski,1952-02-14,1988-10-23
11640,Valeri,Coorg,1953-10-06,1987-01-18
11647,Magy,Nitsche,1953-10-13,1988-05-11
11660,Gill,Stenning,1955-07-19,1986-11-22
11673,Henk,Felder,1954-12-20,1988-10-13
11676,Valeri,Ferriere,1952-04-12,1985-03-16
11681,Fumitake,Benzmuller,1952-05-15,1987-01-21
11684,Oksana,Gide,1953-03-07,1986-02-21
11696,Dante,Rothe,1954-10-26,1985-10-23
11705,Arve,Hofmeyr,1954-11-26,1985-10-30
11732,Sanjoy,Ranft,1955-06-14,1985-08-11
11735,Amalendu,Picci,1955-02-19,1988-07-14
11738,Tadahiro,Lichtman,1954-12-13,1986-06-19
11746,Koichi,Marrakchi,1952-05-22,1988-11-17
11747,Aksel,Kossowski,1953-11-27,1986-02-20
11751,Jiafu,Emiris,1953-02-02,1988-11-03
11764,Sanjay,Anick,1953-04-22,1988-04-25
11769,Chandrasekaran,Lampe,1953-07-17,1988-02-15
11772,Gaurav,Penz,1954-06-19,1987-12-04
11797,Chenxi,Thambidurai,1954-08-12,1988-08-30
11805,Rosine,Grandbois,1953-06-05,1985-09-01
11810,Amabile,Bhattacharjee,1952-12-08,1987-03-17
11813,Gita,Muhlberg,1952-04-27,1987-03-16
11817,Niranjan,Markovitch,1955-05-25,1986-04-12
11832,Arto,Zlotek,1952-05-18,1986-10-16
11838,Taiji,Nitta,1955-04-13,1985-09-29
11844,Shawna,Demeyer,1953-10-30,1988-01-27
11853,Zeljko,Kusakabe,1952-06-19,1988-11-17
11857,Divier,Farrag,1955-12-03,1986-08-27
11864,Pradeep,Kriebel,1952-06-14,1985-11-12
11871,Nalini,Sommen,1953-05-02,1988-01-23
11872,Cheong,Riexinger,1953-01-17,1987-12-06
11883,Nectarios,Bhattacharjee,1952-05-27,1988-04-16
11894,Mitchel,Validov,1954-12-23,1988-06-22
11897,Cordelia,Setlzner,1952-11-23,1987-12-27
11906,Hideo,Boguraev,1955-04-26,1987-03-30
11915,Miomir,Mawatari,1954-08-16,1987-08-29
11931,Gunilla,Chiodo,1952-10-30,1988-10-03
11933,Basil,Erman,1953-08-15,1987-06-13
11949,Martijn,Harbusch,1953-01-27,1985-03-11
11983,Jaana,Hedayat,1953-01-04,1986-10-11
11987,Vidya,Schaar,1954-12-29,1988-10-17
11988,Chinya,Chinin,1953-08-10,1985-11-03
11993,Marit,Dalphin,1955-10-29,1986-06-25
12011,Zhilian,Coorg,1953-12-16,1988-07-22
12025,Jaewoo,Heiserman,1953-05-04,1985-02-28
12033,Visit,Serot,1955-05-06,1987-08-20
12036,Mads,Ratzlaff,1953-03-02,1986-09-05
12037,Arunas,Katzenelson,1954-01-11,1986-10-01
12050,Yuchang,Tchuente,1953-06-08,1988-10-10
12052,Masako,Khasidashvili,1953-11-13,1986-04-07
12062,Margareta,Worfolk,1954-01-20,1985-02-03
12069,Ayonca,Burnard,1953-12-27,1985-05-13
12070,Ger,Shokrollahi,1955-07-23,1988-11-14
12076,Karlis,Siprelle,1955-03-16,1985-03-25
12082,Xinan,Yamaashi,1953-09-20,1986-01-29
12087,Weijing,Jumpertz,1953-05-09,1986-08-16
12089,Bilhanan,Socorro,1954-06-21,1986-10-22
12099,Nobuyoshi,Kuzuoka,1953-01-12,1987-08-23
12103,Becky,Erie,1955-02-03,1988-02-25
12112,Satyanarayana,Avouris,1953-07-01,1986-05-24
12122,Satoru,Krone,1954-06-27,1987-07-24
12123,Xiahua,Syrzycki,1954-07-08,1987-07-18
12125,Shounak,Erman,1953-04-16,1987-05-01
12128,Yannik,Barreiro,1953-09-13,1986-01-29
12149,Suebskul,Grandbois,1954-10-25,1988-10-01
12159,Shem,Perly,1955-08-15,1985-07-17
12165,Xiaobin,Maquelin,1952-11-19,1985-04-27
12173,Adel,Nanard,1955-02-03,1986-06-24
12183,Harngdar,Iisaku,1954-06-29,1987-09-19
12192,Feiyu,Klyachko,1954-11-06,1985-03-16
12205,Sushant,Rossi,1955-08-24,1986-04-14
12206,Barton,Janetzko,1954-11-21,1985-03-27
12218,Yaghout,Strooper,1954-08-01,1985-02-18
12221,Vincent,Melter,1955-07-14,1985-09-16
12222,Abdelwaheb,Holburn,1953-03-04,1986-09-01
12223,Niteen,Koyama,1954-07-27,1986-08-13
12247,Subbu,Penttonen,1952-03-26,1985-04-09
12249,Eldridge,Sadowski,1952-09-20,1987-02-28
12254,Chaitali,Stafford,1953-04-04,1988-12-23
12256,Guadalupe,Reghbati,1955-02-15,1985-08-26
12264,Mart,Pagter,1953-12-30,1987-07-24
12270,Shakhar,Kornyak,1953-08-10,1988-01-04
12272,Behnaam,Grandbois,1955-10-16,1987-12-08
12274,Garnik,Papadias,1955-02-01,1988-04-01
12276,Yongmin,Lenart,1955-05-03,1986-08-12
12303,Godehard,Braccini,1952-08-20,1988-06-13
12308,Mototsugu,Cronau,1952-02-17,1985-08-11
12311,Susanne,Lubachevsky,1955-02-11,1985-10-22
12312,Chenye,Velasco,1954-04-06,1988-11-24
12327,DAIDA,Bruckman,1952-05-21,1986-10-16
12335,Arnould,Genin,1952-11-25,1988-04-26
12341,Rasiah,Luga,1955-02-13,1985-05-25
12343,Sorina,Slaats,1952-10-18,1988-08-25
12365,Kamakshi,Bisiani,1954-01-21,1985-04-07
12373,Mooi,Driscoll,1953-04-26,1985-03-22
12395,Sanjit,Felder,1955-01-08,1988-02-04
12399,Mihalis,Luga,1955-11-15,1987-12-07
12411,Shao,Ibel,1952-05-31,1986-08-17
12413,Hugh,Gadepally,1955-06-17,1988-05-04
12415,Uri,Sluis,1952-06-05,1986-10-25
12417,Dannz,Spelt,1955-11-18,1988-07-05
12422,Berhard,Demos,1954-12-04,1985-07-20
12451,Pramod,Marzano,1955-04-25,1986-11-26
12454,Kerryn,Farris,1954-08-21,1986-09-10
12464,Shai,Milicic,1955-09-08,1986-08-18
12475,Filipe,Roison,1953-03-30,1987-04-26
12478,Yahiko,Hopewell,1954-10-23,1987-11-22
12487,Mona,Reghbati,1954-04-24,1987-10-04
12489,Arnould,Munck,1955-01-23,1986-04-11
12490,Jackson,Muchinsky,1955-08-08,1988-05-16
12493,Filipp,Menhardt,1953-07-16,1988-03-30
12497,Stein,Penz,1953-08-26,1985-04-05
12501,Morrie,Matheson,1954-11-22,1986-06-05
12504,Adly,Rosaz,1953-01-04,1987-04-17
12514,Tomofumi,Melter,1952-11-14,1985-12-03
12528,Conor,Cincotta,1952-11-20,1988-09-24
12534,Yongmao,Gerlach,1953-01-31,1985-08-14
12541,Shih,Nanard,1952-04-22,1988-08-31
12542,Kazuhide,Bouloucos,1954-07-26,1987-09-12
12551,Jeane,Tzvieli,1954-03-15,1987-12-04
12553,Aral,Vesna,1954-05-08,1987-02-28
12557,Stafford,Kopetz,1954-01-01,1988-03-20
12589,Anoosh,Chleq,1952-11-23,1988-09-08
12596,Breannda,Roisin,1955-10-10,1986-04-25
12601,Ghassan,Simkin,1955-08-16,1988-12-17
12608,Nectarios,Mondadori,1955-10-27,1985-06-23
12635,Xinyu,Restivo,1952-11-09,1985-11-27
12637,Poorav,Karner,1955-06-03,1987-04-08
12638,Yuqun,Seiwald,1954-11-09,1986-07-01
12642,Suebskul,Gips,1955-09-27,1987-05-24
12651,Pragnesh,Bael,1952-07-24,1988-01-27
12662,Leucio,Alvarado,1952-08-02,1985-08-27
12663,Nobuyoshi,Stellhorn,1954-10-31,1986-09-29
12664,Zhonghua,Parveen,1952-05-01,1987-08-19
12678,Carrsten,Borovoy,1952-12-07,1987-06-03
12689,Luerbio,Boudaillier,1953-01-19,1987-04-12
12691,Oddvar,Gils,1952-10-17,1987-11-21
12694,Kazuhira,Luders,1954-12-19,1988-07-29
12697,Uri,Brizzi,1955-06-25,1986-07-11
12709,Ronghao,Botman,1955-08-09,1985-12-02
12717,Tzu,Jiafu,1953-04-17,1988-05-16
12722,Elliott,Cheshire,1955-09-23,1985-03-29
12726,Fumitake,Panwar,1954-03-27,1988-09-04
12729,Nahla,Rahier,1954-05-18,1987-08-25
12730,Barry,Perl,1953-07-01,1987-12-18
12731,Yongmao,Waymire,1953-05-09,1988-04-05
12732,Mara,Takanami,1952-09-27,1988-04-06
12734,Gil,Frijda,1952-03-05,1986-03-03
12755,Rildo,Rodite,1955-02-20,1987-03-18
12759,LiMin,Kuszyk,1953-05-05,1987-05-31
12773,Jenwei,Lovengreen,1952-06-26,1985-03-05
12775,Mariangiola,Berendt,1952-10-21,1986-02-06
12790,Gunilla,Perl,1953-02-05,1986-04-22
12795,Masoud,Fordan,1952-05-06,1986-10-11
12798,Lillian,Beeson,1952-05-18,1987-12-27
12803,Gad,Boissier,1952-05-12,1985-03-16
12815,Sushant,Junot,1955-03-25,1985-02-27
12816,Freyja,Ramras,1952-10-15,1985-04-18
12819,Mountaz,Gubsky,1953-07-30,1986-11-30
12846,Krisda,Cyne,1954-10-24,1988-07-16
12848,Kazuhide,Smeets,1953-01-17,1987-06-14
12853,Mang,Brobst,1953-10-06,1987-01-05
12863,Leif,Matheson,1954-08-02,1985-09-06
12872,Marl,Schmittgen,1953-02-18,1986-09-09
12876,Apostol,Goodrum,1953-12-05,1985-09-13
12879,Baruch,Eugenio,1955-09-07,1986-05-14
12888,Martien,Erni,1955-11-05,1986-05-07
12890,Neven,Casley,1955-10-05,1985-10-31
12893,Licheng,Crouzet,1954-10-09,1987-03-18
12895,Roddy,Serot,1952-04-28,1988-05-25
12905,Munehiro,Gecsei,1955-01-24,1987-07-19
12922,Jacqueline,Porenta,1955-09-01,1985-11-20
12926,Heekeun,Luby,1952-04-24,1985-12-24
12937,Arup,Cincotta,1953-03-17,1986-01-26
12940,Odinaldo,Farrar,1953-10-25,1987-12-12
12941,Tommaso,Perelgut,1954-07-29,1986-11-06
12949,Geoff,Asrin,1955-02-24,1987-02-12
12951,Mohammad,Keirsey,1954-06-15,1987-08-19
12972,Juyoung,Azevdeo,1952-10-16,1985-02-14
12974,Gift,Frolund,1953-08-13,1986-10-24
12977,Byong,Markovitch,1954-11-29,1987-08-24
12983,Elliott,Hambrick,1954-04-07,1985-12-01
13012,Florina,Harbusch,1952-02-12,1987-12-24
13030,Yahiko,Kroll,1955-02-12,1987-07-02
13046,Vivian,Stafford,1953-03-09,1987-04-19
13047,Atilio,Chelton,1953-04-24,1987-01-04
13049,Fan,Naudin,1955-08-28,1985-10-06
13062,Xinglin,Baak,1953-11-10,1986-11-25
13075,Rosella,Morrin,1955-05-24,1986-08-17
13076,Deniz,Skafidas,1954-03-09,1988-06-14
13096,Ibibia,Armand,1953-01-03,1988-10-25
13103,Srinidhi,Ellozy,1952-05-09,1988-06-19
13113,Kwun,Landherr,1953-08-05,1987-08-25
13124,Quingbo,Garnick,1955-11-06,1985-03-17
13133,Guther,Senzako,1955-06-21,1985-09-03
13134,Lorien,Chepyzhov,1955-06-25,1987-08-29
13144,Persi,Nollmann,1952-07-11,1987-10-16
13146,Haldon,Erie,1953-11-01,1985-05-25
13147,Shichao,Ginesta,1955-12-28,1985-12-16
13156,Akeel,Millington,1952-04-19,1986-12-29
13165,Lucian,Benner,1954-09-09,1988-03-16
13168,Munir,Stentiford,1954-06-10,1987-09-11
13170,Cheong,Bernardeschi,1955-10-25,1986-05-07
13171,Anoosh,Birnbaum,1954-12-29,1987-08-31
13173,Arve,Horswill,1953-04-20,1987-09-24
13179,Moty,Janocha,1955-09-09,1987-04-16
13182,Kokou,Rodite,1954-02-25,1985-08-27
13186,Kyoichi,Barbanera,1955-06-19,1986-04-29
13192,Rosita,Flowers,1953-01-28,1988-11-10
13202,Aram,Scharstein,1953-05-10,1986-03-29
13210,Jianhua,Klassen,1953-06-19,1986-09-19
13213,Hein,Billawala,1954-12-29,1988-02-03
13221,Premsyl,Famili,1955-05-17,1987-02-27
13232,Mitchel,Fujisaki,1955-01-29,1986-06-02
13233,Alselm,Chvatal,1954-08-11,1987-03-31
13238,Ebru,Foote,1953-02-23,1985-10-30
13240,King,Pileggi,1955-02-14,1987-12-20
13243,Fay,Huxford,1953-12-23,1986-12-17
13250,Zeydy,Schusler,1954-02-20,1985-11-19
13272,Arun,Jiang,1953-10-11,1985-03-10
13276,Yechiam,Seuren,1955-05-07,1986-03-09
13288,Muneo,Broomell,1952-08-24,1987-04-14
13291,Georg,Stamatiou,1952-04-29,1986-10-30
13299,Guiseppe,Butner,1953-12-07,1986-07-17
13302,Mack,Alencar,1954-06-21,1987-04-19
13305,Bikash,Herath,1952-04-25,1985-07-17
13315,Sakthirel,Stroustrup,1955-09-08,1988-05-08
13332,Nidapan,Pearson,1954-12-02,1987-09-24
13333,Yoshinari,Hennebert,1953-07-17,1988-03-23
13341,Bodh,Doering,1953-06-02,1986-03-11
13343,Heon,Usery,1952-04-06,1988-07-29
13368,Kiyokazu,Klassen,1953-12-29,1988-04-24
13371,Nakhoon,Riexinger,1954-01-23,1986-07-29
13373,Juichirou,Naumovich,1954-09-08,1987-06-13
13385,Claudi,Buchter,1954-11-15,1986-06-10
13386,Khosrow,Sgarro,1952-04-27,1986-02-23
13389,Divine,Cmelik,1954-04-26,1988-03-23
13392,Fumitake,Beidas,1953-04-05,1988-08-26
13396,Chuanyi,Aumann,1952-05-19,1987-09-22
13402,Augustine,Dulli,1955-05-15,1985-09-15
13405,Randy,Baba,1954-01-19,1986-09-18
13407,Gio,Chenoweth,1954-01-09,1987-10-30
13408,Sreekrishna,Lagarias,1954-12-27,1986-04-26
13415,Nathalie,Speer,1955-06-23,1986-01-01
13422,Vishwani,Gerlach,1952-08-20,1988-01-17
13442,Giordano,Miake,1953-03-14,1987-06-16
13443,Mayuko,Puppo,1954-07-22,1985-03-06
13445,Renee,Dehkordi,1954-12-22,1986-04-14
13451,Gretta,Weiland,1952-03-21,1986-08-23
13457,Shooichi,Parfitt,1955-06-27,1986-01-18
13458,Feipei,Nivat,1954-12-21,1985-12-12
13463,Theron,Berstel,1954-08-29,1988-01-26
13465,Sasan,Rehfuss,1953-11-01,1985-07-08
13493,Uinam,Jullig,1954-09-08,1987-09-07
13504,Parto,Mandell,1954-01-09,1986-12-21
13521,Jaewoo,Tasistro,1955-07-28,1988-12-16
13524,Chaoyi,Porotnikoff,1955-11-06,1985-07-27
13535,Arunas,Schlenzig,1954-12-25,1986-05-19
13546,Aimee,Brookner,1955-02-22,1988-10-26
13549,Matk,Koprowski,1952-05-02,1988-05-12
13552,Ingmar,Capobianchi,1955-03-23,1985-03-23
13560,Sibyl,Jeong,1952-04-15,1986-07-28
13576,Jungsoon,Engberts,1954-08-05,1986-08-22
13578,Tadahiko,Christianini,1953-09-26,1987-11-17
13605,Dmitry,Encarnacion,1953-08-02,1985-09-29
13621,Fei,Haddadi,1954-02-28,1986-08-24
13624,Zhigen,Yurek,1952-12-15,1987-05-12
13629,Dzung,Trelles,1954-09-13,1987-01-03
13648,Zejun,Lamba,1954-03-28,1985-11-16
13651,Stamatina,Plesums,1955-10-09,1987-09-02
13653,Kristen,Iivonen,1955-01-01,1985-07-11
13670,Moti,Takanami,1953-05-06,1987-04-16
13680,Denny,Speer,1953-08-08,1985-03-18
13684,Elvia,Christ,1955-05-03,1985-02-06
13685,Weicheng,Hockney,1954-05-02,1988-03-08
13697,Shuichi,Weedon,1953-04-07,1985-06-20
13698,Domenico,Mitchem,1954-01-11,1985-06-02
13704,Vishu,Kumaresan,1955-05-26,1986-05-03
13721,Sugwoo,Delgrossi,1952-07-01,1985-08-25
13727,Vitali,Merey,1952-08-13,1985-09-21
